date,home_team,home_team_id,home_team_score,away_team,away_team_id,away_team_score,is_home_winner,home_team_wins,home_team_loses,home_team_points_per_game,home_team_points_against_per_game,away_team_wins,away_team_loses,away_team_points_per_game,away_team_points_against_per_game
2019-10-22,LA Clippers,1610612746,112,LA Lakers,1610612747,102,1,0,0,0,0,0,0,0,0
2019-10-22,Toronto,1610612761,130,New Orleans,1610612740,122,1,0,0,0,0,0,0,0,0
2019-10-23,Brooklyn,1610612751,126,Minnesota,1610612750,127,0,0,0,0,0,0,0,0,0
2019-10-23,Charlotte,1610612766,126,Chicago,1610612741,125,1,0,0,0,0,0,0,0,0
2019-10-23,Dallas,1610612742,108,Washington,1610612764,100,1,0,0,0,0,0,0,0,0
2019-10-23,Indiana,1610612754,110,Detroit,1610612765,119,0,0,0,0,0,0,0,0,0
2019-10-23,Miami,1610612748,120,Memphis,1610612763,101,1,0,0,0,0,0,0,0,0
2019-10-23,Orlando,1610612753,94,Cleveland,1610612739,85,1,0,0,0,0,0,0,0,0
2019-10-23,Philadelphia,1610612755,107,Boston,1610612738,93,1,0,0,0,0,0,0,0,0
2019-10-23,Phoenix,1610612756,124,Sacramento,1610612758,95,1,0,0,0,0,0,0,0,0
2019-10-23,Portland,1610612757,100,Denver,1610612743,108,0,0,0,0,0,0,0,0,0
2019-10-23,San Antonio,1610612759,120,New York,1610612752,111,1,0,0,0,0,0,0,0,0
2019-10-23,Utah,1610612762,100,Oklahoma City,1610612760,95,1,0,0,0,0,0,0,0,0
2019-10-24,Detroit,1610612765,100,Atlanta,1610612737,117,0,1,0,58.5,54.0,0,0,0,0
2019-10-24,Golden State,1610612744,122,LA Clippers,1610612746,141,0,0,0,0,0,1,0,55.0,50.0
2019-10-24,Houston,1610612745,111,Milwaukee,1610612749,117,0,0,0,0,0,0,0,0,0
2019-10-25,Boston,1610612738,112,Toronto,1610612761,106,1,0,1,45.5,52.5,1,0,64.0,60.0
2019-10-25,Brooklyn,1610612751,113,New York,1610612752,109,1,0,1,62.0,62.5,0,1,54.5,59.0
2019-10-25,Charlotte,1610612766,99,Minnesota,1610612750,121,0,1,0,62.0,61.5,1,0,62.5,62.0
2019-10-25,Denver,1610612743,108,Phoenix,1610612756,107,1,1,0,53.0,49.0,1,0,61.0,46.5
2019-10-25,LA Lakers,1610612747,95,Utah,1610612762,86,1,0,1,50.0,55.0,1,0,49.0,46.5
2019-10-25,Memphis,1610612763,102,Chicago,1610612741,110,0,0,1,49.5,59.0,0,1,61.5,62.0
2019-10-25,New Orleans,1610612740,116,Dallas,1610612742,123,0,0,1,60.0,64.0,1,0,53.0,49.0
2019-10-25,Oklahoma City,1610612760,85,Washington,1610612764,97,0,0,1,46.5,49.0,0,1,49.0,53.0
2019-10-25,Sacramento,1610612758,112,Portland,1610612757,122,0,0,1,46.5,61.0,0,1,49.0,53.0
2019-10-26,Atlanta,1610612737,103,Orlando,1610612753,99,1,1,0,57.5,49.0,1,0,46.0,41.5
2019-10-26,Chicago,1610612741,84,Toronto,1610612761,108,0,1,1,77.3,75.0,1,1,77.7,77.0
2019-10-26,Cleveland,1610612739,110,Indiana,1610612754,99,1,0,1,41.5,46.0,0,1,54.0,58.5
2019-10-26,Detroit,1610612765,111,Philadelphia,1610612755,117,0,1,1,72.0,74.7,1,0,52.5,45.5
2019-10-26,Houston,1610612745,126,New Orleans,1610612740,123,1,0,1,54.5,57.5,0,2,78.3,83.3
2019-10-26,Milwaukee,1610612749,126,Miami,1610612748,131,0,1,0,57.5,54.5,1,0,59.0,49.5
2019-10-26,New York,1610612752,95,Boston,1610612738,118,0,0,2,72.33333333333333,76.66666666666667,1,1,67.36666666666667,70.03333333333335
2019-10-26,Phoenix,1610612756,130,LA Clippers,1610612746,122,1,1,1,75.96666666666665,66.63333333333333,2,0,83.33333333333333,73.66666666666667
2019-10-26,San Antonio,1610612759,124,Washington,1610612764,122,1,1,0,59.0,54.5,1,1,64.63333333333333,63.366666666666674
2019-10-26,Utah,1610612762,113,Sacramento,1610612758,81,1,1,1,61.03333333333334,62.29999999999999,0,2,68.0,81.03333333333335
2019-10-27,Dallas,1610612742,119,Portland,1610612757,121,0,2,0,76.03333333333335,70.96666666666665,1,1,72.96666666666665,72.33333333333333
2019-10-27,LA Lakers,1610612747,120,Charlotte,1610612766,101,1,1,1,64.7,65.03333333333335,1,1,74.03333333333335,81.0
2019-10-27,Memphis,1610612763,134,Brooklyn,1610612751,133,1,0,2,66.63333333333333,75.66666666666667,1,1,78.66666666666667,77.63333333333333
2019-10-27,Minnesota,1610612750,116,Miami,1610612748,109,1,2,0,81.63333333333333,73.96666666666665,2,0,82.66666666666667,74.63333333333333
2019-10-27,Oklahoma City,1610612760,120,Golden State,1610612744,92,1,0,2,59.0,64.63333333333333,0,1,60.0,69.5
2019-10-28,Atlanta,1610612737,103,Philadelphia,1610612755,105,0,2,0,72.36666666666667,65.3,2,0,73.7,66.96666666666665
2019-10-28,Detroit,1610612765,96,Indiana,1610612754,94,1,1,2,81.5,85.0,0,2,68.66666666666667,75.3
2019-10-28,Houston,1610612745,116,Oklahoma City,1610612760,112,1,1,1,78.03333333333335,78.96666666666665,1,2,74.0,71.3
2019-10-28,LA Clippers,1610612746,111,Charlotte,1610612766,96,1,2,1,92.75,87.5,1,2,80.5,90.55
2019-10-28,Milwaukee,1610612749,129,Cleveland,1610612739,112,1,1,1,80.0,79.66666666666667,1,1,63.966666666666654,63.3
2019-10-28,New Orleans,1610612740,123,Golden State,1610612744,134,0,0,3,89.25,93.80000000000001,0,2,70.33333333333333,86.0
2019-10-28,New York,1610612752,105,Chicago,1610612741,98,1,0,3,77.75,86.8,1,2,78.8,83.05
2019-10-28,Phoenix,1610612756,95,Utah,1610612762,96,0,2,1,89.25,80.3,2,1,73.8,66.75
2019-10-28,Sacramento,1610612758,94,Denver,1610612743,101,0,0,3,71.0,88.75,2,0,71.03333333333335,67.96666666666665
2019-10-28,San Antonio,1610612759,113,Portland,1610612757,110,1,2,0,80.33333333333333,76.63333333333333,2,1,84.8,83.75
2019-10-28,Toronto,1610612761,104,Orlando,1610612753,95,1,2,1,85.0,78.55,1,1,63.33333333333333,61.633333333333326
2019-10-29,Denver,1610612743,106,Dallas,1610612742,109,0,3,0,78.3,74.25,2,1,86.55,83.3
2019-10-29,LA Lakers,1610612747,120,Memphis,1610612763,91,1,2,1,78.3,73.75,1,2,83.25,89.8
2019-10-29,Miami,1610612748,112,Atlanta,1610612737,97,1,2,1,89.0,84.75,2,1,79.75,75.0
2019-10-30,Boston,1610612738,116,Milwaukee,1610612749,105,1,2,1,79.8,76.05,2,1,92.05,87.5
2019-10-30,Brooklyn,1610612751,108,Indiana,1610612754,118,0,1,2,92.0,91.5,0,3,74.8,80.3
2019-10-30,Cleveland,1610612739,117,Chicago,1610612741,111,1,1,2,75.75,79.55,1,3,82.4,87.2
2019-10-30,Golden State,1610612744,110,Phoenix,1610612756,121,0,1,2,86.0,95.05,2,2,90.2,83.2
2019-10-30,Oklahoma City,1610612760,99,Portland,1610612757,102,0,1,3,81.4,80.0,2,2,89.6,89.4
2019-10-30,Orlando,1610612753,95,New York,1610612752,83,1,1,2,71.05,72.05,1,3,83.0,88.8
2019-10-30,Philadelphia,1610612755,117,Minnesota,1610612750,95,1,3,0,81.25,75.75,3,0,90.05,82.55
2019-10-30,Sacramento,1610612758,111,Charlotte,1610612766,118,0,0,4,75.4,91.0,1,3,83.4,94.4
2019-10-30,Toronto,1610612761,125,Detroit,1610612765,113,1,3,1,88.6,81.6,2,2,84.2,86.6
2019-10-30,Utah,1610612762,110,LA Clippers,1610612746,96,1,3,1,78.0,72.2,3,1,96.2,89.0
2019-10-30,Washington,1610612764,158,Houston,1610612745,159,0,1,2,78.8,78.25,2,1,87.25,87.0
2019-10-31,Atlanta,1610612737,97,Miami,1610612748,106,0,2,2,83.0,82.2,3,1,93.4,87.0
2019-10-31,LA Clippers,1610612746,103,San Antonio,1610612759,97,1,3,2,96.03333333333335,92.33333333333333,3,0,88.25,84.75
