Team,12,2,4,9,13,6,27,19,8,21,29,7,22,25,28,11,10,20,30,3,16,15,5,24,17,23,26,1,18,14
2,1-3,,2-2,2-1,2-1,1-2,0-2,2-0,2-2,1-1,1-1,1-3,1-1,1-1,1-1,3-0,3-1,1-1,2-0,3-1,1-1,2-2,4-0,2-0,1-1,2-0,0-2,1-3,1-1,4-0
4,1-2,2-2,,1-2,0-4,1-3,0-2,2-0,1-3,0-2,2-0,1-3,0-2,0-2,0-2,1-3,0-3,0-2,0-2,2-2,1-1,0-4,2-2,2-0,0-2,1-1,0-2,0-4,1-1,0-3
9,0-4,1-2,2-1,,1-3,3-1,0-2,1-1,1-3,0-2,2-0,3-1,1-1,2-0,1-1,0-4,3-1,0-2,2-0,1-3,2-0,1-2,4-0,1-1,1-1,2-0,1-1,4-0,1-1,1-2
13,1-3,1-2,4-0,3-1,,1-3,1-1,0-2,2-1,0-2,1-1,3-0,0-2,2-0,2-0,2-2,3-1,2-0,1-1,3-1,0-2,3-1,4-0,1-1,1-1,2-0,1-1,1-2,1-1,2-2
6,3-0,2-1,3-1,1-3,3-1,,2-0,2-0,1-3,0-2,1-1,3-1,2-0,2-0,1-1,1-2,3-1,2-0,1-1,4-0,2-0,4-0,4-0,2-0,1-1,2-0,1-1,1-2,1-1,2-2
27,0-2,2-0,2-0,2-0,1-1,0-2,,3-1,1-1,1-3,2-2,0-2,1-3,3-0,3-1,0-2,1-1,4-0,2-2,2-0,0-4,1-1,2-0,3-0,2-1,1-3,0-4,0-2,2-1,1-1
19,0-2,0-2,0-2,1-1,2-0,0-2,1-3,,2-0,1-3,3-0,1-1,1-2,3-1,1-3,0-2,1-1,3-1,1-2,2-0,0-4,0-2,2-0,2-2,1-3,0-3,1-3,2-0,0-4,2-0
8,1-3,2-2,3-1,3-1,1-2,3-1,1-1,0-2,,1-1,2-0,1-3,0-2,1-1,0-2,2-2,3-1,2-0,0-2,1-2,1-1,3-0,4-0,2-0,2-0,1-1,0-2,1-2,2-0,1-3
21,2-0,1-1,2-0,2-0,2-0,2-0,3-1,3-1,1-1,,3-0,2-0,4-0,3-1,4-0,2-0,1-1,2-1,3-0,2-0,3-0,2-0,2-0,4-0,3-1,4-0,3-1,2-0,4-0,2-0
29,0-2,1-1,0-2,0-2,1-1,1-1,2-2,0-3,0-2,0-3,,1-1,2-2,4-0,2-2,1-1,1-1,3-0,3-1,1-1,2-2,1-1,2-0,2-1,2-2,3-1,1-3,2-0,2-2,1-1
7,2-2,3-1,3-1,1-3,0-3,1-3,2-0,1-1,3-1,0-2,1-1,,1-1,2-0,0-2,2-2,3-1,2-0,2-0,3-0,1-1,3-1,3-0,2-0,0-2,0-2,1-1,1-3,0-2,2-1
22,1-1,1-1,2-0,1-1,2-0,0-2,3-1,2-1,2-0,0-4,2-2,1-1,,4-0,2-1,2-0,2-0,3-1,3-1,2-0,1-3,2-0,2-0,2-2,3-1,3-1,1-2,0-2,2-1,2-0
25,0-2,1-1,2-0,0-2,0-2,0-2,0-3,1-3,1-1,1-3,0-4,0-2,0-4,,1-3,1-1,1-1,1-2,2-1,0-2,0-4,1-1,1-1,1-3,0-3,0-4,0-4,0-2,1-3,1-1
28,0-2,1-1,2-0,1-1,0-2,1-1,1-3,3-1,2-0,0-4,2-2,2-0,1-2,3-1,,1-1,1-1,2-2,4-0,2-0,1-2,1-1,2-0,2-2,2-2,3-0,0-4,0-2,1-2,1-1
11,3-1,0-3,3-1,4-0,2-2,2-1,2-0,2-0,2-2,0-2,1-1,2-2,0-2,1-1,1-1,,1-2,1-1,2-0,3-1,1-1,3-1,3-0,2-0,1-1,2-0,0-2,1-3,1-1,2-2
10,2-1,1-3,3-0,1-3,1-3,1-3,1-1,1-1,1-3,1-1,1-1,1-3,0-2,1-1,1-1,2-1,,2-0,1-1,2-2,0-2,2-2,3-0,2-0,1-1,0-2,0-2,0-4,0-2,1-3
20,2-0,1-1,2-0,2-0,0-2,0-2,0-4,1-3,0-2,1-2,0-3,0-2,1-3,2-1,2-2,1-1,0-2,,2-2,0-2,1-3,0-2,1-1,2-2,1-3,4-0,0-3,1-1,1-3,1-1
30,0-2,0-2,2-0,0-2,1-1,1-1,2-2,2-1,2-0,0-3,1-3,0-2,1-3,1-2,0-4,0-2,1-1,2-2,,1-1,1-2,0-2,1-1,2-2,1-3,4-0,1-3,0-2,2-2,1-1
3,2-2,1-3,2-2,3-1,1-3,0-4,0-2,0-2,2-1,0-2,1-1,0-3,0-2,2-0,0-2,1-3,2-2,2-0,1-1,,1-1,1-2,4-0,2-0,1-1,0-2,0-2,1-3,1-1,1-2
16,1-1,1-1,1-1,0-2,2-0,0-2,4-0,4-0,1-1,0-3,2-2,1-1,3-1,4-0,2-1,1-1,2-0,3-1,2-1,1-1,,2-0,2-0,3-0,2-2,2-2,2-2,1-1,4-0,2-0
15,2-2,2-2,4-0,2-1,1-3,0-4,1-1,2-0,0-3,0-2,1-1,1-3,0-2,1-1,1-1,1-3,2-2,2-0,2-0,2-1,0-2,,3-1,0-2,1-1,1-1,0-2,1-2,2-0,0-4
5,0-3,0-4,2-2,0-4,0-4,0-4,0-2,0-2,0-4,0-2,0-2,0-3,0-2,1-1,0-2,0-3,0-3,1-1,1-1,0-4,0-2,1-3,,2-0,1-1,1-1,0-2,0-4,0-2,0-4
24,1-1,0-2,0-2,1-1,1-1,0-2,0-3,2-2,0-2,0-4,1-2,0-2,2-2,3-1,2-2,0-2,0-2,2-2,2-2,0-2,0-3,2-0,0-2,,2-1,1-3,0-4,1-1,0-4,0-2
17,0-2,1-1,2-0,1-1,1-1,1-1,1-2,3-1,0-2,1-3,2-2,2-0,1-3,3-0,2-2,1-1,1-1,3-1,3-1,1-1,2-2,1-1,1-1,1-2,,4-0,0-3,0-2,3-1,2-0
23,1-1,0-2,1-1,0-2,0-2,0-2,3-1,3-0,1-1,0-4,1-3,2-0,1-3,4-0,0-3,0-2,2-0,0-4,0-4,2-0,2-2,1-1,1-1,3-1,0-4,,0-3,2-0,2-1,1-1
26,2-0,2-0,2-0,1-1,1-1,1-1,4-0,3-1,2-0,1-3,3-1,1-1,2-1,4-0,4-0,2-0,2-0,3-0,3-1,2-0,2-2,2-0,2-0,4-0,3-0,3-0,,1-1,4-0,1-1
1,3-1,3-1,4-0,0-4,2-1,2-1,2-0,0-2,2-1,0-2,0-2,3-1,2-0,2-0,2-0,3-1,4-0,1-1,2-0,3-1,1-1,2-1,4-0,1-1,2-0,0-2,1-1,,1-1,4-0
18,1-1,1-1,1-1,1-1,1-1,1-1,1-2,4-0,0-2,0-4,2-2,2-0,1-2,3-1,2-1,1-1,2-0,3-1,2-2,1-1,0-4,0-2,2-0,4-0,1-3,1-2,0-4,1-1,,1-1
