TEAM_ID,TEAM_NAME,OVERALL,HOME_RECORD,ROAD_RECORD,POST_SEASON_RECORD,RECORD_CLOSE_GAMES,RECORD_NORMAL_GAMES
1610612744,Golden State Warriors,67-15,39-2,28-13,25-6,5-3,45-9
1610612737,Atlanta Hawks,60-22,35-6,25-16,17-11,6-4,30-10
1610612745,Houston Rockets,56-26,30-11,26-15,20-9,8-4,31-14
1610612746,Los Angeles Clippers,56-26,30-11,26-15,21-7,3-5,33-9
1610612763,Memphis Grizzlies,55-27,31-10,24-17,16-13,9-3,26-13
1610612759,San Antonio Spurs,55-27,33-8,22-19,21-8,6-7,34-7
1610612739,Cleveland Cavaliers,53-29,31-10,22-19,20-7,6-4,30-14
1610612757,Portland Trail Blazers,51-31,32-9,19-22,15-14,5-1,30-11
1610612741,Chicago Bulls,50-32,27-14,23-18,16-12,7-2,20-16
1610612742,Dallas Mavericks,50-32,27-14,23-18,14-13,5-4,22-18
1610612761,Toronto Raptors,49-33,27-14,22-19,13-16,6-5,29-11
1610612764,Washington Wizards,46-36,29-12,17-24,13-15,9-4,21-14
1610612740,New Orleans Pelicans,45-37,28-13,17-24,18-11,10-4,19-14
1610612760,Oklahoma City Thunder,45-37,29-12,16-25,17-12,4-8,26-14
1610612749,Milwaukee Bucks,41-41,23-18,18-23,11-18,5-9,17-16
1610612738,Boston Celtics,40-42,21-20,19-22,20-11,8-6,17-14
1610612756,Phoenix Suns,39-43,22-19,17-24,10-18,4-12,14-19
1610612751,Brooklyn Nets,38-44,19-22,19-22,17-13,10-2,15-23
1610612754,Indiana Pacers,38-44,23-18,15-26,17-11,4-12,19-20
1610612762,Utah Jazz,38-44,21-20,17-24,19-10,5-10,18-19
1610612748,Miami Heat,37-45,20-21,17-24,15-15,4-10,15-28
1610612766,Charlotte Hornets,33-49,19-22,14-27,11-19,6-8,13-22
1610612765,Detroit Pistons,32-50,18-23,14-27,11-17,7-6,19-25
1610612743,Denver Nuggets,30-52,19-22,11-30,10-19,4-4,17-28
1610612758,Sacramento Kings,29-53,18-23,11-30,11-19,6-4,12-28
1610612753,Orlando Magic,25-57,13-28,12-29,8-18,6-8,4-27
1610612747,Los Angeles Lakers,21-61,12-29,9-32,8-21,6-6,5-30
1610612755,Philadelphia 76ers,18-64,12-29,6-35,6-23,3-7,5-41
1610612752,New York Knicks,17-65,10-31,7-34,7-22,2-7,3-39
1610612750,Minnesota Timberwolves,16-66,9-32,7-34,5-24,6-6,4-40
