HOME_TEAM_HOME_WINS,HOME_TEAM_ROAD_WINS,AWAY_TEAM_HOME_WINS,AWAY_TEAM_ROAD_WINS,HOME_TEAM_RATING,AWAY_TEAM_RATING,HOME_TEAM_PPG,HOME_TEAM_PAPG,AWAY_TEAM_PPG,AWAY_TEAM_PAPG,HOME_TEAM_WINS
0.5,0.5,0.5,0.5,0.43333333333333335,0.2666666666666667,0,0,0,0,0
0.5,0.5,0.5,0.5,0.6666666666666667,0.30000000000000004,0,0,0,0,1
0.5,0.5,0.5,0.5,0.7666666666666666,0.33333333333333337,0,0,0,0,1
0.5,0.5,0.5,0.5,0.16666666666666663,0.06666666666666665,0,0,0,0,1
0.5,0.5,0.667,0.5,0.5666666666666667,0.6666666666666667,0,0,97,95,0
0.5,0.667,0.5,0.5,0.2666666666666667,0.1333333333333333,106,94,0,0,1
0.5,0.5,0.5,0.5,0.8666666666666667,0.3666666666666667,0,0,0,0,0
0.5,0.5,0.5,0.5,0.19999999999999996,0.4666666666666667,0,0,0,0,0
0.5,0.5,0.5,0.333,0.7333333333333334,0.30000000000000004,0,0,95,97,0
0.5,0.5,0.5,0.5,0.8333333333333334,0.5,0,0,0,0,1
0.5,0.5,0.5,0.5,0.033333333333333326,0.4,0,0,0,0,0
0.5,0.5,0.5,0.5,0.9666666666666667,1.0,0,0,0,0,1
0.5,0.5,0.5,0.5,0.09999999999999998,0.5333333333333333,0,0,0,0,0
0.5,0.5,0.5,0.5,0.6,0.7,0,0,0,0,0
0.5,0.5,0.5,0.333,0.8,0.33333333333333337,0,0,95,111,1
0.5,0.5,0.5,0.5,0.23333333333333328,0.9333333333333333,0,0,0,0,0
0.5,0.5,0.5,0.5,0.6333333333333333,0.9,0,0,0,0,1
0.5,0.333,0.333,0.5,0.9,0.7333333333333334,99,106,76,106,0
0.5,0.667,0.5,0.667,0.9333333333333333,0.7,111,104,111,95,1
0.5,0.667,0.333,0.5,0.4,0.43333333333333335,122,97,94,106,0
0.333,0.667,0.5,0.333,0.43333333333333335,0.5,103,103,94,104,1
0.667,0.5,0.667,0.5,0.16666666666666663,0.6333333333333333,112,95,106,99,0
0.5,0.5,0.667,0.5,0.30000000000000004,0.8333333333333334,100,86,104,94,1
0.5,0.667,0.5,0.667,0.3666666666666667,0.4666666666666667,105,85,112,111,0
0.667,0.667,0.667,0.667,0.2666666666666667,0.6666666666666667,99,90,106,97,1
0.333,0.5,0.667,0.5,0.8666666666666667,0.7666666666666666,85,105,111,95,0
0.333,0.5,0.5,0.667,0.033333333333333326,0.5333333333333333,97,122,88,87,0
0.333,0.5,0.667,0.5,0.09999999999999998,0.9666666666666667,87,88,112,106,0
0.5,0.333,0.5,0.333,0.06666666666666665,0.1333333333333333,95,112,87,92,0
0.333,0.5,0.667,0.5,0.6,0.8,95,111,112,94,1
0.333,0.5,0.333,0.5,0.23333333333333328,0.19999999999999996,104,111,111,112,1
0.5,0.333,0.333,0.5,1.0,0.5666666666666667,106,112,100,115,1
0.333,0.333,0.5,0.5,0.9,0.1333333333333333,101,109,93,81,0
0.667,0.667,0.5,0.5,0.9333333333333333,0.23333333333333328,107,96,118,112,1
0.333,0.667,0.333,0.333,0.7333333333333334,0.5666666666666667,94,104,87,108,1
0.5,0.25,0.667,0.667,0.33333333333333337,0.7666666666666666,94,111,111,93,0
