date,home_team,home_team_id,home_team_score,away_team,away_team_id,away_team_score,is_home_winner,home_team_wins,home_team_loses,home_team_points_per_game,home_team_points_against_per_game,away_team_wins,away_team_loses,away_team_points_per_game,away_team_points_against_per_game
2018-10-16,Boston,2,105,Philadelphia,5,87,1,0,0,0,0,0,0,0,0
2018-10-16,Golden State,21,108,Oklahoma City,16,100,1,0,0,0,0,0,0,0,0
2018-10-17,Charlotte,13,112,Milwaukee,10,113,0,0,0,0,0,0,0,0,0
2018-10-17,Detroit,8,103,Brooklyn,4,100,1,0,0,0,0,0,0,0,0
2018-10-17,Houston,29,112,New Orleans,30,131,0,0,0,0,0,0,0,0,0
2018-10-17,Indiana,7,111,Memphis,28,83,1,0,0,0,0,0,0,0,0
2018-10-17,LA Clippers,22,98,Denver,19,107,0,0,0,0,0,0,0,0,0
2018-10-17,New York,3,126,Atlanta,12,107,1,0,0,0,0,0,0,0,0
2018-10-17,Orlando,15,104,Miami,11,101,1,0,0,0,0,0,0,0,0
2018-10-17,Phoenix,24,121,Dallas,27,100,1,0,0,0,0,0,0,0,0
2018-10-17,Sacramento,23,117,Utah,18,123,0,0,0,0,0,0,0,0,0
2018-10-17,San Antonio,26,112,Minnesota,20,108,1,0,0,0,0,0,0,0,0
2018-10-17,Toronto,1,116,Cleveland,6,104,1,0,0,0,0,0,0,0,0
2018-10-18,Philadelphia,5,127,Chicago,9,108,1,0,1,42.5,51.5,0,0,0,0
2018-10-18,Portland,17,128,LA Lakers,25,119,1,0,0,0,0,0,0,0,0
2018-10-18,Washington,14,112,Miami,11,113,0,0,0,0,0,0,1,49.5,51.0
2018-10-19,Brooklyn,4,107,New York,3,105,1,0,1,49.0,50.5,1,0,62.0,52.5
2018-10-19,LA Clippers,22,108,Oklahoma City,16,92,1,0,1,48.0,52.5,0,1,49.0,53.0
2018-10-19,Memphis,28,131,Atlanta,12,117,1,0,1,40.5,54.5,0,1,52.5,62.0
2018-10-19,Milwaukee,10,118,Indiana,7,101,1,1,0,55.5,55.0,1,0,54.5,40.5
2018-10-19,Minnesota,20,131,Cleveland,6,123,1,0,1,53.0,55.0,0,1,51.0,57.0
2018-10-19,New Orleans,30,149,Sacramento,23,129,1,1,0,64.5,55.0,0,1,57.5,60.5
2018-10-19,Orlando,15,88,Charlotte,13,120,0,1,0,51.0,49.5,0,1,55.0,55.5
2018-10-19,Toronto,1,113,Boston,2,101,1,1,0,57.0,51.0,1,0,51.5,42.5
2018-10-19,Utah,18,123,Golden State,21,124,0,1,0,60.5,57.5,1,0,53.0,49.0
2018-10-20,Chicago,9,116,Detroit,8,118,0,0,1,53.0,62.5,1,0,50.5,49.0
2018-10-20,Dallas,27,140,Minnesota,20,136,1,0,1,49.0,59.5,1,1,78.66666666666667,77.33333333333333
2018-10-20,Denver,19,119,Phoenix,24,91,1,1,0,52.5,48.0,1,0,59.5,49.0
2018-10-20,Indiana,7,132,Brooklyn,4,112,1,1,1,69.7,65.96666666666665,1,1,67.96666666666665,68.3
2018-10-20,LA Lakers,25,115,Houston,29,124,0,0,1,58.5,63.0,0,1,55.0,64.5
2018-10-20,Miami,11,112,Charlotte,13,113,0,1,1,70.36666666666667,71.03333333333335,1,1,76.33333333333333,65.96666666666665
2018-10-20,New York,3,101,Boston,2,103,0,1,1,76.03333333333335,70.36666666666667,1,1,67.66666666666667,65.63333333333333
2018-10-20,Philadelphia,5,116,Orlando,15,115,1,1,1,70.33333333333333,69.96666666666665,1,1,62.96666666666666,72.63333333333333
2018-10-20,Portland,17,121,San Antonio,26,108,1,1,0,63.0,58.5,1,0,55.0,53.0
2018-10-20,Washington,14,113,Toronto,1,117,0,0,1,55.0,55.5,2,0,75.3,67.33333333333333
2018-10-21,Cleveland,6,111,Atlanta,12,133,0,0,2,74.7,81.36666666666667,0,2,73.66666666666667,84.7
2018-10-21,Denver,19,100,Golden State,21,98,1,2,0,74.36666666666667,62.03333333333334,2,0,76.33333333333333,73.36666666666667
2018-10-21,LA Clippers,22,115,Houston,29,112,1,1,1,67.66666666666667,65.36666666666667,1,1,77.66666666666667,80.96666666666665
2018-10-21,Oklahoma City,16,120,Sacramento,23,131,0,0,2,63.0,71.03333333333335,0,2,81.03333333333335,89.69999999999999
2018-10-22,Boston,2,90,Orlando,15,93,0,2,1,76.3,74.25,1,2,75.75,83.3
2018-10-22,Dallas,27,115,Chicago,9,109,1,1,1,78.96666666666665,84.66666666666667,0,2,73.66666666666667,80.66666666666667
2018-10-22,Golden State,21,123,Phoenix,24,103,1,2,1,81.55,79.75,1,1,69.66666666666667,72.0
