is_home_winner,home_team,home_team_id,home_team_score,away_team,away_team_id,away_team_score,date
True,Boston,2,105,Philadelphia,5,87,2018-10-16
True,Golden State,21,108,Oklahoma City,16,100,2018-10-16
False,Charlotte,13,112,Milwaukee,10,113,2018-10-17
True,Detroit,8,103,Brooklyn,4,100,2018-10-17
False,Houston,29,112,New Orleans,30,131,2018-10-17
True,Indiana,7,111,Memphis,28,83,2018-10-17
False,LA Clippers,22,98,Denver,19,107,2018-10-17
True,New York,3,126,Atlanta,12,107,2018-10-17
True,Orlando,15,104,Miami,11,101,2018-10-17
True,Phoenix,24,121,Dallas,27,100,2018-10-17
False,Sacramento,23,117,Utah,18,123,2018-10-17
True,San Antonio,26,112,Minnesota,20,108,2018-10-17
True,Toronto,1,116,Cleveland,6,104,2018-10-17
True,Philadelphia,5,127,Chicago,9,108,2018-10-18
True,Portland,17,128,LA Lakers,25,119,2018-10-18
False,Washington,14,112,Miami,11,113,2018-10-18
True,Brooklyn,4,107,New York,3,105,2018-10-19
True,LA Clippers,22,108,Oklahoma City,16,92,2018-10-19
True,Memphis,28,131,Atlanta,12,117,2018-10-19
True,Milwaukee,10,118,Indiana,7,101,2018-10-19
True,Minnesota,20,131,Cleveland,6,123,2018-10-19
True,New Orleans,30,149,Sacramento,23,129,2018-10-19
False,Orlando,15,88,Charlotte,13,120,2018-10-19
True,Toronto,1,113,Boston,2,101,2018-10-19
False,Utah,18,123,Golden State,21,124,2018-10-19
False,Chicago,9,116,Detroit,8,118,2018-10-20
True,Dallas,27,140,Minnesota,20,136,2018-10-20
True,Denver,19,119,Phoenix,24,91,2018-10-20
True,Indiana,7,132,Brooklyn,4,112,2018-10-20
False,LA Lakers,25,115,Houston,29,124,2018-10-20
False,Miami,11,112,Charlotte,13,113,2018-10-20
False,New York,3,101,Boston,2,103,2018-10-20
True,Philadelphia,5,116,Orlando,15,115,2018-10-20
True,Portland,17,121,San Antonio,26,108,2018-10-20
False,Washington,14,113,Toronto,1,117,2018-10-20
False,Cleveland,6,111,Atlanta,12,133,2018-10-21
True,Denver,19,100,Golden State,21,98,2018-10-21
True,LA Clippers,22,115,Houston,29,112,2018-10-21
False,Oklahoma City,16,120,Sacramento,23,131,2018-10-21
False,Boston,2,90,Orlando,15,93,2018-10-22
True,Dallas,27,115,Chicago,9,109,2018-10-22
True,Golden State,21,123,Phoenix,24,103,2018-10-22
False,LA Lakers,25,142,San Antonio,26,143,2018-10-22
True,Milwaukee,10,124,New York,3,113,2018-10-22
True,Minnesota,20,101,Indiana,7,91,2018-10-22
False,Portland,17,124,Washington,14,125,2018-10-22
True,Toronto,1,127,Charlotte,13,106,2018-10-22
False,Utah,18,84,Memphis,28,92,2018-10-22
True,Denver,19,126,Sacramento,23,112,2018-10-23
True,Detroit,8,133,Philadelphia,5,132,2018-10-23
True,New Orleans,30,116,LA Clippers,22,109,2018-10-23
True,Atlanta,12,111,Dallas,27,104,2018-10-24
True,Chicago,9,112,Charlotte,13,110,2018-10-24
False,Cleveland,6,86,Brooklyn,4,102,2018-10-24
True,Golden State,21,144,Washington,14,122,2018-10-24
False,Houston,29,89,Utah,18,100,2018-10-24
True,Miami,11,110,New York,3,87,2018-10-24
True,Milwaukee,10,123,Philadelphia,5,108,2018-10-24
False,Phoenix,24,113,LA Lakers,25,131,2018-10-24
True,Sacramento,23,97,Memphis,28,92,2018-10-24
False,San Antonio,26,96,Indiana,7,116,2018-10-24
True,Toronto,1,112,Minnesota,20,105,2018-10-24
True,Detroit,8,110,Cleveland,6,103,2018-10-25
True,LA Lakers,25,121,Denver,19,114,2018-10-25
False,Oklahoma City,16,95,Boston,2,101,2018-10-25
False,Orlando,15,114,Portland,17,128,2018-10-25
True,Charlotte,13,135,Chicago,9,106,2018-10-26
False,Houston,29,113,LA Clippers,22,133,2018-10-26
False,Minnesota,20,95,Milwaukee,10,125,2018-10-26
True,New Orleans,30,117,Brooklyn,4,115,2018-10-26
False,New York,3,100,Golden State,21,128,2018-10-26
True,Sacramento,23,116,Washington,14,112,2018-10-26
True,Toronto,1,116,Dallas,27,107,2018-10-26
False,Atlanta,12,85,Chicago,9,97,2018-10-27
False,Cleveland,6,107,Indiana,7,119,2018-10-27
False,Detroit,8,89,Boston,2,109,2018-10-27
True,Memphis,28,117,Phoenix,24,96,2018-10-27
True,Miami,11,120,Portland,17,111,2018-10-27
True,Milwaukee,10,113,Orlando,15,91,2018-10-27
False,New Orleans,30,111,Utah,18,132,2018-10-27
True,Philadelphia,5,105,Charlotte,13,103,2018-10-27
True,San Antonio,26,110,LA Lakers,25,106,2018-10-27
False,Brooklyn,4,114,Golden State,21,120,2018-10-28
False,Dallas,27,104,Utah,18,113,2018-10-28
True,LA Clippers,22,136,Washington,14,104,2018-10-28
True,Oklahoma City,16,117,Phoenix,24,110,2018-10-28
False,Chicago,9,124,Golden State,21,149,2018-10-29
True,Denver,19,116,New Orleans,30,111,2018-10-29
False,Indiana,7,93,Portland,17,103,2018-10-29
False,Miami,11,113,Sacramento,23,123,2018-10-29
True,Milwaukee,10,124,Toronto,1,109,2018-10-29
True,Minnesota,20,124,LA Lakers,25,120,2018-10-29
True,New York,3,115,Brooklyn,4,96,2018-10-29
True,Philadelphia,5,113,Atlanta,12,92,2018-10-29
True,San Antonio,26,113,Dallas,27,108,2018-10-29
True,Boston,2,108,Detroit,8,105,2018-10-30
True,Charlotte,13,125,Miami,11,113,2018-10-30
True,Cleveland,6,136,Atlanta,12,114,2018-10-30
False,Houston,29,85,Portland,17,104,2018-10-30
True,Memphis,28,107,Washington,14,95,2018-10-30
True,Oklahoma City,16,128,LA Clippers,22,110,2018-10-30
False,Orlando,15,99,Sacramento,23,107,2018-10-30
True,Toronto,1,129,Philadelphia,5,112,2018-10-30
True,Brooklyn,4,120,Detroit,8,119,2018-10-31
False,Chicago,9,107,Denver,19,108,2018-10-31
True,Golden State,21,131,New Orleans,30,121,2018-10-31
True,LA Lakers,25,114,Dallas,27,113,2018-10-31
True,Minnesota,20,128,Utah,18,125,2018-10-31
False,New York,3,101,Indiana,7,107,2018-10-31
False,Phoenix,24,90,San Antonio,26,120,2018-10-31
False,Atlanta,12,115,Sacramento,23,146,2018-11-01
True,Boston,2,117,Milwaukee,10,113,2018-11-01
False,Charlotte,13,107,Oklahoma City,16,111,2018-11-01
False,Cleveland,6,91,Denver,19,110,2018-11-01
True,Philadelphia,5,122,LA Clippers,22,113,2018-11-01
True,Portland,17,132,New Orleans,30,119,2018-11-01
False,Brooklyn,4,111,Houston,29,119,2018-11-02
False,Chicago,9,105,Indiana,7,107,2018-11-02
False,Dallas,27,106,New York,3,118,2018-11-02
True,Golden State,21,116,Minnesota,20,99,2018-11-02
False,Orlando,15,95,LA Clippers,22,120,2018-11-02
False,Phoenix,24,98,Toronto,1,107,2018-11-02
False,Utah,18,100,Memphis,28,110,2018-11-02
False,Washington,14,111,Oklahoma City,16,134,2018-11-02
True,Atlanta,12,123,Miami,11,118,2018-11-03
False,Chicago,9,88,Houston,29,96,2018-11-03
True,Charlotte,13,126,Cleveland,6,94,2018-11-03
True,Denver,19,103,Utah,18,88,2018-11-03
True,Indiana,7,102,Boston,2,101,2018-11-03
True,Philadelphia,5,109,Detroit,8,99,2018-11-03
False,Portland,17,110,LA Lakers,25,114,2018-11-03
True,San Antonio,26,109,New Orleans,30,95,2018-11-03
True,Brooklyn,4,122,Philadelphia,5,97,2018-11-04
False,LA Lakers,25,107,Toronto,1,121,2018-11-04
True,Milwaukee,10,144,Sacramento,23,109,2018-11-04
True,Phoenix,24,102,Memphis,28,100,2018-11-04
True,Portland,17,111,Minnesota,20,81,2018-11-04
False,San Antonio,26,110,Orlando,15,117,2018-11-04
True,Washington,14,108,New York,3,95,2018-11-04
True,Denver,19,115,Boston,2,107,2018-11-05
False,Detroit,8,115,Miami,11,120,2018-11-05
True,Golden State,21,117,Memphis,28,101,2018-11-05
False,Indiana,7,94,Houston,29,98,2018-11-05
True,LA Clippers,22,120,Minnesota,20,109,2018-11-05
False,New York,3,115,Chicago,9,116,2018-11-05
True,Oklahoma City,16,122,New Orleans,30,116,2018-11-05
True,Orlando,15,102,Cleveland,6,100,2018-11-05
False,Utah,18,111,Toronto,1,124,2018-11-05
True,Charlotte,13,113,Atlanta,12,102,2018-11-06
True,Dallas,27,119,Washington,14,100,2018-11-06
False,Phoenix,24,82,Brooklyn,4,104,2018-11-06
True,Portland,17,118,Milwaukee,10,103,2018-11-06
False,Atlanta,12,107,New York,3,112,2018-11-07
False,Cleveland,6,86,Oklahoma City,16,95,2018-11-07
False,Indiana,7,94,Philadelphia,5,100,2018-11-07
