TEAM_NAME,OVERALL,HOME_RECORD,ROAD_RECORD,POST_SEASON_RECORD,RECORD_CLOSE_GAMES,RECORD_NORMAL_GAMES
Milwaukee Bucks,60-22,33-8,27-14,17-8,5-6,45-5
Toronto Raptors,58-24,32-9,26-15,15-8,11-7,33-9
Golden State Warriors,57-25,30-11,27-14,16-9,7-7,34-10
Denver Nuggets,54-28,34-7,20-21,15-10,13-3,23-11
Houston Rockets,53-29,31-10,22-19,20-5,5-7,29-12
Portland Trail Blazers,53-29,32-9,21-20,19-6,4-6,29-8
Philadelphia 76ers,51-31,31-10,20-21,14-10,10-8,22-16
Utah Jazz,50-32,29-12,21-20,18-7,0-7,34-12
Boston Celtics,49-33,28-13,21-20,12-12,5-6,24-12
Oklahoma City Thunder,49-33,27-14,22-19,12-13,6-7,23-12
Indiana Pacers,48-34,29-12,19-22,10-14,6-6,23-16
Los Angeles Clippers,48-34,26-15,22-19,16-7,6-2,23-18
San Antonio Spurs,48-34,32-9,16-25,15-8,7-4,25-16
Brooklyn Nets,42-40,23-18,19-22,12-11,12-8,16-22
Orlando Magic,42-40,25-16,17-24,15-8,5-6,21-21
Detroit Pistons,41-41,26-15,15-26,15-11,6-9,16-21
Charlotte Hornets,39-43,25-16,14-27,12-13,6-10,21-20
Miami Heat,39-43,19-22,20-21,13-13,6-9,16-20
Sacramento Kings,39-43,24-17,15-26,9-16,6-7,16-18
Los Angeles Lakers,37-45,22-19,15-26,9-16,5-4,16-25
Milwaukee Bucks,60-22,33-8,27-14,17-8,5-6,45-5
Toronto Raptors,58-24,32-9,26-15,15-8,11-7,33-9
Golden State Warriors,57-25,30-11,27-14,16-9,7-7,34-10
Denver Nuggets,54-28,34-7,20-21,15-10,13-3,23-11
Houston Rockets,53-29,31-10,22-19,20-5,5-7,29-12
Portland Trail Blazers,53-29,32-9,21-20,19-6,4-6,29-8
Philadelphia 76ers,51-31,31-10,20-21,14-10,10-8,22-16
Utah Jazz,50-32,29-12,21-20,18-7,0-7,34-12
Boston Celtics,49-33,28-13,21-20,12-12,5-6,24-12
Oklahoma City Thunder,49-33,27-14,22-19,12-13,6-7,23-12
Indiana Pacers,48-34,29-12,19-22,10-14,6-6,23-16
Los Angeles Clippers,48-34,26-15,22-19,16-7,6-2,23-18
San Antonio Spurs,48-34,32-9,16-25,15-8,7-4,25-16
Brooklyn Nets,42-40,23-18,19-22,12-11,12-8,16-22
Orlando Magic,42-40,25-16,17-24,15-8,5-6,21-21
Detroit Pistons,41-41,26-15,15-26,15-11,6-9,16-21
Charlotte Hornets,39-43,25-16,14-27,12-13,6-10,21-20
Miami Heat,39-43,19-22,20-21,13-13,6-9,16-20
Sacramento Kings,39-43,24-17,15-26,9-16,6-7,16-18
Los Angeles Lakers,37-45,22-19,15-26,9-16,5-4,16-25
Milwaukee Bucks,60-22,33-8,27-14,17-8,5-6,45-5
Toronto Raptors,58-24,32-9,26-15,15-8,11-7,33-9
Golden State Warriors,57-25,30-11,27-14,16-9,7-7,34-10
Denver Nuggets,54-28,34-7,20-21,15-10,13-3,23-11
Houston Rockets,53-29,31-10,22-19,20-5,5-7,29-12
Portland Trail Blazers,53-29,32-9,21-20,19-6,4-6,29-8
Philadelphia 76ers,51-31,31-10,20-21,14-10,10-8,22-16
Utah Jazz,50-32,29-12,21-20,18-7,0-7,34-12
Boston Celtics,49-33,28-13,21-20,12-12,5-6,24-12
Oklahoma City Thunder,49-33,27-14,22-19,12-13,6-7,23-12
Indiana Pacers,48-34,29-12,19-22,10-14,6-6,23-16
Los Angeles Clippers,48-34,26-15,22-19,16-7,6-2,23-18
San Antonio Spurs,48-34,32-9,16-25,15-8,7-4,25-16
Brooklyn Nets,42-40,23-18,19-22,12-11,12-8,16-22
Orlando Magic,42-40,25-16,17-24,15-8,5-6,21-21
Detroit Pistons,41-41,26-15,15-26,15-11,6-9,16-21
Charlotte Hornets,39-43,25-16,14-27,12-13,6-10,21-20
Miami Heat,39-43,19-22,20-21,13-13,6-9,16-20
Sacramento Kings,39-43,24-17,15-26,9-16,6-7,16-18
Los Angeles Lakers,37-45,22-19,15-26,9-16,5-4,16-25
Milwaukee Bucks,60-22,33-8,27-14,17-8,5-6,45-5
Toronto Raptors,58-24,32-9,26-15,15-8,11-7,33-9
Golden State Warriors,57-25,30-11,27-14,16-9,7-7,34-10
Denver Nuggets,54-28,34-7,20-21,15-10,13-3,23-11
Houston Rockets,53-29,31-10,22-19,20-5,5-7,29-12
Portland Trail Blazers,53-29,32-9,21-20,19-6,4-6,29-8
Philadelphia 76ers,51-31,31-10,20-21,14-10,10-8,22-16
Utah Jazz,50-32,29-12,21-20,18-7,0-7,34-12
Boston Celtics,49-33,28-13,21-20,12-12,5-6,24-12
Oklahoma City Thunder,49-33,27-14,22-19,12-13,6-7,23-12
Indiana Pacers,48-34,29-12,19-22,10-14,6-6,23-16
Los Angeles Clippers,48-34,26-15,22-19,16-7,6-2,23-18
San Antonio Spurs,48-34,32-9,16-25,15-8,7-4,25-16
Brooklyn Nets,42-40,23-18,19-22,12-11,12-8,16-22
Orlando Magic,42-40,25-16,17-24,15-8,5-6,21-21
Detroit Pistons,41-41,26-15,15-26,15-11,6-9,16-21
Charlotte Hornets,39-43,25-16,14-27,12-13,6-10,21-20
Miami Heat,39-43,19-22,20-21,13-13,6-9,16-20
Sacramento Kings,39-43,24-17,15-26,9-16,6-7,16-18
Los Angeles Lakers,37-45,22-19,15-26,9-16,5-4,16-25
Milwaukee Bucks,60-22,33-8,27-14,17-8,5-6,45-5
Toronto Raptors,58-24,32-9,26-15,15-8,11-7,33-9
Golden State Warriors,57-25,30-11,27-14,16-9,7-7,34-10
Denver Nuggets,54-28,34-7,20-21,15-10,13-3,23-11
Houston Rockets,53-29,31-10,22-19,20-5,5-7,29-12
Portland Trail Blazers,53-29,32-9,21-20,19-6,4-6,29-8
Philadelphia 76ers,51-31,31-10,20-21,14-10,10-8,22-16
Utah Jazz,50-32,29-12,21-20,18-7,0-7,34-12
Boston Celtics,49-33,28-13,21-20,12-12,5-6,24-12
Oklahoma City Thunder,49-33,27-14,22-19,12-13,6-7,23-12
Indiana Pacers,48-34,29-12,19-22,10-14,6-6,23-16
Los Angeles Clippers,48-34,26-15,22-19,16-7,6-2,23-18
San Antonio Spurs,48-34,32-9,16-25,15-8,7-4,25-16
Brooklyn Nets,42-40,23-18,19-22,12-11,12-8,16-22
Orlando Magic,42-40,25-16,17-24,15-8,5-6,21-21
Detroit Pistons,41-41,26-15,15-26,15-11,6-9,16-21
Charlotte Hornets,39-43,25-16,14-27,12-13,6-10,21-20
Miami Heat,39-43,19-22,20-21,13-13,6-9,16-20
Sacramento Kings,39-43,24-17,15-26,9-16,6-7,16-18
Los Angeles Lakers,37-45,22-19,15-26,9-16,5-4,16-25
Milwaukee Bucks,60-22,33-8,27-14,17-8,5-6,45-5
Milwaukee Bucks,60-22,33-8,27-14,17-8,5-6,45-5
Toronto Raptors,58-24,32-9,26-15,15-8,11-7,33-9
Golden State Warriors,57-25,30-11,27-14,16-9,7-7,34-10
Denver Nuggets,54-28,34-7,20-21,15-10,13-3,23-11
Houston Rockets,53-29,31-10,22-19,20-5,5-7,29-12
Portland Trail Blazers,53-29,32-9,21-20,19-6,4-6,29-8
Philadelphia 76ers,51-31,31-10,20-21,14-10,10-8,22-16
Utah Jazz,50-32,29-12,21-20,18-7,0-7,34-12
Boston Celtics,49-33,28-13,21-20,12-12,5-6,24-12
Oklahoma City Thunder,49-33,27-14,22-19,12-13,6-7,23-12
Indiana Pacers,48-34,29-12,19-22,10-14,6-6,23-16
Los Angeles Clippers,48-34,26-15,22-19,16-7,6-2,23-18
San Antonio Spurs,48-34,32-9,16-25,15-8,7-4,25-16
Brooklyn Nets,42-40,23-18,19-22,12-11,12-8,16-22
